Promo_Year,Region,Country,Category,Macro_Category,Brand,Week,Sales_Units,Price,Promotion,Start_Seas,End_Seas,Seasonality,Predicted_Sales,Baseline_Sales,Incremental_Sales,PromoID,Promo_Days,Half_Year,Promotion_Status,Event_Count,Planned_Event_Count,Start_Prom,End_Prom,Actual_Promo_Sales_Volume_Uplift,Planned_Promo_Sales_Volume_Uplift,Sales_Value,Baseline_Sales_Value,Actual_Promo_Sales_Value,Planned_Promo_Sales_Value,Actual_Promo_Sales_Value_Uplift_PromoID_%,Planned_Promo_Sales_Value_Uplift_PromoID_%,Actual_Promo_Sales_Value_Uplift_%,Planned_Promo_Sales_Value_Uplift_%,Actual_Sales_Value,Actual_Event_Spent,Planned_Event_Spent,COGS,Gross_Profit,Planned_Gross_Profit,ROI%_PromoID,Baseline_Value,Planned_iGP,Planned_ROI%_PromoID,ROI%,Planned_ROI%,Actual_Gross_Margin_PromoID_%,Planned_Gross_Margin_PromoID_%,Actual_Gross_Margin_%,Planned_Gross_Margin_%,Listing_Price,Incremental_Sales_Adjusted,Incremental_TO,Actual_Total_TO,Planned_Total_TO,Actual_Gross_Sales_Value,Planned_Gross_Sales_Value,Actual Net Promo Incr Volume (Units),Actual_RAG,Planned_RAG,Planned_Red,Planned_Amber,Planned_Green,Actual_Red,Actual_Amber,Actual_Green,Channel_Customer,ProductDescription,Packsize
,Europe,France,Foods,Snacks,A,01-01-2024,109,13.81,,25-03-2024,10-06-2024,0,106.62,106.62,0,WQKF8484,0,,No Promotions,,,"","",2.3799999999999955,0.0,1505.29,1472.4222000000002,1505.29,1472.4222000000002,2.23,0.0,,,1505.29,0.0,0.0,9.22,500.30999999999995,1.497830802603037,49.78,1472.4222000000002,489.38580000000013,33.24,,,33.24,33.24,,,15.57,-0.0,-0.0,1505.29,1472.4222000000002,1697.13,1660.0734,-106.62,NA,GREEN,0,0,1,0,0,0,Customer 6,DOVE NUT.SOL.MICEL.AQUA PEPTIDE FRESH NOURI.GREEN PU,450 ML
,Europe,France,Foods,Snacks,A,08-01-2024,89,5.43,,25-03-2024,10-06-2024,0,94.46833333,94.46833333,0,TPZG5858,0,,No Promotions,,,"","",-5.468333329999993,0.0,483.27,512.9630499819,483.27,512.9630499819,-5.79,0.0,,,483.27,0.0,0.0,3.46,175.32999999999998,1.5693641618497112,56.94,512.9630499819,186.1026166601,36.28,,,36.28,36.28,,,5.8,0,0.0,483.27,512.9630499819,516.1999999999999,547.916333314,-94.46833333,NA,GREEN,0,0,1,0,0,0,Customer 4,CITRA PEARLY BRIGHT UV BODY LOTION PUMP,300 ML
2024,Europe,France,Foods,Snacks,A,15-01-2024,152,6.4,B1G2,25-03-2024,10-06-2024,0,159.81,100.81,59,FTFH9652,7,H1,COMPLETED,1118,1118,15-01-2024,22-01-2024,51.19,59.0,972.8000000000001,645.1840000000001,972.8000000000001,1022.7840000000001,50.78,58.53,42.85623797084121,41.02388408440522,972.8000000000001,107.01,165.38,3.73,405.84000000000003,1.7158176943699732,44.34,645.1840000000001,426.69270000000006,56.73,12.047881499565046,39.500559870943064,30.72,25.55,10.752440241015897,25.165299630227782,7.34,59,377.6,972.8000000000001,1022.7840000000001,1115.68,1173.0054,-41.81,GREEN,GREEN,0,0,1,0,0,1,Customer 9,LIFEBUOY ANTIBACTERIAL TOTAL REFILL,450 ML
,Europe,France,Foods,Snacks,A,22-01-2024,102,7.04,,25-03-2024,10-06-2024,0,102.24,102.24,0,FQMO3570,0,,No Promotions,,,"","",-0.23999999999999488,0.0,718.08,719.7696,718.08,719.7696,-0.23,0.0,,,718.08,0.0,0.0,3.77,333.54,1.8673740053050398,86.74,719.7696,334.3248,46.45,,,46.45,46.45,,,7.97,0,0.0,718.08,719.7696,812.9399999999999,814.8527999999999,-102.24,NA,GREEN,0,0,1,0,0,0,Customer 4,CITRA RESTORING BRIGHT UV BODY LOTION PUMP,320 ML
,Europe,France,Foods,Snacks,A,29-01-2024,107,8.59,,25-03-2024,10-06-2024,0,105.52,105.52,0,IRET7040,0,,No Promotions,,,"","",1.480000000000004,0.0,919.13,906.4168,919.13,906.4168,1.4,0.0,,,919.13,0.0,0.0,5.41,340.26,1.587800369685767,58.78,906.4168,335.55359999999996,37.02,,,37.02,37.02,,,9.31,0,0.0,919.13,906.4168,996.1700000000001,982.3912,-105.52,NA,GREEN,0,0,1,0,0,0,Customer 2,DOVE INTENSE REPAIR DARK BLUE PUMP,425 ML
,Europe,France,Foods,Snacks,A,05-02-2024,104,7.21,,25-03-2024,10-06-2024,0,102.9,102.9,0,WMIG5953,0,,No Promotions,,,"","",1.0999999999999943,0.0,749.84,741.909,749.84,741.909,1.07,0.0,,,749.84,0.0,0.0,3.73,361.92,1.9329758713136729,93.3,741.909,358.092,48.27,,,48.27,48.27,,,7.59,0,0.0,749.84,741.909,789.36,781.0110000000001,-102.9,NA,GREEN,0,0,1,0,0,0,Customer 2,LIFEBUOY ANTIBACTERIAL TOTAL REFILL,450 ML
,Europe,France,Foods,Snacks,A,12-02-2024,98,11.22,,25-03-2024,10-06-2024,0,95.644,95.644,0,BVDZ9505,0,,No Promotions,,,"","",2.3559999999999945,0.0,1099.5600000000002,1073.12568,1099.5600000000002,1073.12568,2.46,0.0,,,1099.5600000000002,0.0,0.0,7.05,408.6600000000002,1.5914893617021277,59.15,1073.12568,398.8354800000001,37.17,,,37.17,37.17,,,11.82,0,0.0,1099.5600000000002,1073.12568,1158.3600000000001,1130.5120800000002,-95.644,NA,GREEN,0,0,1,0,0,0,Customer 2,BREEZE EXCEL SIGNATURE FLORAL BREEZE CONCENTRATED LIQUID PINK,700 ML
,Europe,France,Foods,Snacks,A,19-02-2024,102,12.54,,25-03-2024,10-06-2024,0,101.97,101.97,0,GUGO7817,0,,No Promotions,,,"","",0.030000000000001137,0.0,1279.08,1278.7038,1279.08,1278.7038,0.03,0.0,,,1279.08,0.0,0.0,6.81,584.4599999999999,1.8414096916299563,84.14,1278.7038,584.2881000000001,45.69,,,45.69,45.69,,,14.09,0,0.0,1279.08,1278.7038,1437.18,1436.7573,-101.97,NA,GREEN,0,0,1,0,0,0,Customer 7,COMFORT SOFTENER ULTRA FLORAL FRESH PINK CONC,540 ML
,Europe,France,Foods,Snacks,A,26-02-2024,103,9.08,,25-03-2024,10-06-2024,0,104.16,104.16,0,RZIU0196,0,,No Promotions,,,"","",-1.1599999999999966,0.0,935.24,945.7728,935.24,945.7728,-1.11,0.0,,,935.24,0.0,0.0,5.23,396.54999999999995,1.7361376673040152,73.61,945.7728,401.01599999999996,42.4,,,42.4,42.4,,,9.54,-0.0,-0.0,935.24,945.7728,982.6199999999999,993.6863999999999,-104.16,NA,GREEN,0,0,1,0,0,0,Customer 5,CITRA PEARLY BRIGHT UV BODY LOTION PUMP,300 ML
,Europe,France,Foods,Snacks,A,04-03-2024,107,6.61,,25-03-2024,10-06-2024,0,104.59,104.59,0,DZUX8636,0,,No Promotions,,,"","",2.4099999999999966,0.0,707.27,691.3399000000001,707.27,691.3399000000001,2.3,0.0,,,707.27,0.0,0.0,4.06,272.85,1.6280788177339904,62.81,691.3399000000001,266.7045000000001,38.58,,,38.58,38.58,,,7.25,0,0.0,707.27,691.3399000000001,775.75,758.2775,-104.59,NA,GREEN,0,0,1,0,0,0,Customer 3,BREEZE EXCEL COMFORT CONCENTRATE LIQUID REFILL,700 ML
